omega,tau,n,m,c_ratio,q,num_seeds,babai_secret_success_rate,avg_time_sec
0.375,0.25,16,16,1.0,17,200,0.01,0.03009785294532776
0.375,0.25,16,20,1.25,17,200,0.1,0.3145552110671997
0.375,0.25,16,24,1.5,17,200,0.335,0.6869619071483613
0.375,0.25,16,28,1.75,17,200,0.425,1.1697309124469757
0.375,0.25,16,32,2.0,17,200,0.52,1.6655380201339722
0.375,0.25,16,36,2.25,17,200,0.54,2.191037001609802
0.375,0.25,16,40,2.5,17,200,0.505,2.680838634967804
0.375,0.25,16,44,2.75,17,200,0.485,3.2838800716400147
0.375,0.25,16,48,3.0,17,200,0.54,3.8543976068496706
0.5,0.125,4,4,1.0,17,200,0.55,0.00036714315414428713
0.5,0.125,4,5,1.25,17,200,0.755,0.0010185277462005616
0.5,0.125,4,6,1.5,17,200,0.945,0.002060220241546631
0.5,0.125,4,7,1.75,17,200,0.995,0.0038979125022888185
0.5,0.125,4,8,2.0,17,200,1.0,0.007093532085418701
0.5,0.125,4,9,2.25,17,200,1.0,0.010080617666244508
0.5,0.125,4,10,2.5,17,200,1.0,0.015145202875137329
0.5,0.125,4,11,2.75,17,200,1.0,0.021045682430267335
0.5,0.125,4,12,3.0,17,200,1.0,0.028898490667343138
0.5,0.125,5,5,1.0,17,200,0.435,0.0005188953876495362
0.5,0.125,5,7,1.25,17,200,0.895,0.003472970724105835
0.5,0.125,5,8,1.5,17,200,0.98,0.005991297960281372
0.5,0.125,5,9,1.75,17,200,0.995,0.010096952915191651
0.5,0.125,5,10,2.0,17,200,0.995,0.01576118588447571
0.5,0.125,5,12,2.25,17,200,1.0,0.03185058355331421
0.5,0.125,5,13,2.5,17,200,1.0,0.04177026271820068
0.5,0.125,5,14,2.75,17,200,1.0,0.05268088698387146
0.5,0.125,5,15,3.0,17,200,1.0,0.0671277391910553
0.5,0.125,6,6,1.0,17,200,0.43,0.0007352197170257569
0.5,0.125,6,8,1.25,17,200,0.885,0.005179588794708252
0.5,0.125,6,9,1.5,17,200,0.96,0.008944971561431885
0.5,0.125,6,11,1.75,17,200,1.0,0.0219684898853302
0.5,0.125,6,12,2.0,17,200,1.0,0.03160483837127685
0.5,0.125,6,14,2.25,17,200,1.0,0.05598503589630127
0.5,0.125,6,15,2.5,17,200,1.0,0.072531818151474
0.5,0.125,6,17,2.75,17,200,1.0,0.11056222677230836
0.5,0.125,6,18,3.0,17,200,1.0,0.13532018542289734
0.5,0.125,7,7,1.0,17,200,0.39,0.0010122692584991456
0.5,0.125,7,9,1.25,17,200,0.79,0.00760869026184082
0.5,0.125,7,11,1.5,17,200,0.975,0.020386623144149782
0.5,0.125,7,13,1.75,17,200,1.0,0.042343204021453855
0.5,0.125,7,14,2.0,17,200,1.0,0.0581659197807312
0.5,0.125,7,16,2.25,17,200,1.0,0.09446599245071412
0.5,0.125,7,18,2.5,17,200,1.0,0.14256778359413147
0.5,0.125,7,20,2.75,17,200,0.995,0.193932843208313
0.5,0.125,7,21,3.0,17,200,1.0,0.22034749627113343
0.5,0.125,8,8,1.0,17,200,0.365,0.0013622713088989257
0.5,0.125,8,10,1.25,17,200,0.725,0.010442780256271362
0.5,0.125,8,12,1.5,17,200,0.965,0.027577836513519288
0.5,0.125,8,14,1.75,17,200,1.0,0.054854441881179807
0.5,0.125,8,16,2.0,17,200,1.0,0.09582061290740967
0.5,0.125,8,18,2.25,17,200,1.0,0.14678014039993287
0.5,0.125,8,20,2.5,17,200,1.0,0.20870986223220825
0.5,0.125,8,22,2.75,17,200,1.0,0.27475581645965574
0.5,0.125,8,24,3.0,17,200,1.0,0.33596752762794496
0.5,0.125,9,9,1.0,17,200,0.29,0.0017901229858398437
0.5,0.125,9,12,1.25,17,200,0.87,0.023558026552200316
0.5,0.125,9,14,1.5,17,200,0.95,0.05060400247573853
0.5,0.125,9,16,1.75,17,200,0.995,0.09201665878295899
0.5,0.125,9,18,2.0,17,200,0.995,0.1470646619796753
0.5,0.125,9,21,2.25,17,200,0.995,0.2510534715652466
0.5,0.125,9,23,2.5,17,200,1.0,0.32823230147361754
0.5,0.125,9,25,2.75,17,200,1.0,0.4147209167480469
0.5,0.125,9,27,3.0,17,200,1.0,0.4998864388465881
0.5,0.125,10,10,1.0,17,200,0.3,0.0023198652267456053
0.5,0.125,10,13,1.25,17,200,0.79,0.029415374994277953
0.5,0.125,10,15,1.5,17,200,0.92,0.06372132658958435
0.5,0.125,10,18,1.75,17,200,0.99,0.14496927261352538
0.5,0.125,10,20,2.0,17,200,0.995,0.2142283022403717
0.5,0.125,10,23,2.25,17,200,1.0,0.3499942493438721
0.5,0.125,10,25,2.5,17,200,0.99,0.43791439175605773
0.5,0.125,10,28,2.75,17,200,1.0,0.591396814584732
0.5,0.125,10,30,3.0,17,200,0.995,0.6763670563697814
0.5,0.125,11,11,1.0,17,200,0.24,0.0029500579833984376
0.5,0.125,11,14,1.25,17,200,0.715,0.036620975732803346
0.5,0.125,11,17,1.5,17,200,0.935,0.10993861317634583
0.5,0.125,11,20,1.75,17,200,0.98,0.219207239151001
0.5,0.125,11,22,2.0,17,200,0.98,0.3062318289279938
0.5,0.125,11,25,2.25,17,200,0.985,0.46013787150382995
0.5,0.125,11,28,2.5,17,200,0.985,0.6257805478572845
0.5,0.125,11,31,2.75,17,200,0.995,0.7785391402244568
0.5,0.125,11,33,3.0,17,200,0.985,0.8896430373191834
0.5,0.125,12,12,1.0,17,200,0.26,0.003814345598220825
0.5,0.125,12,15,1.25,17,200,0.645,0.045046250820159915
0.5,0.125,12,18,1.5,17,200,0.915,0.12646595120429993
0.5,0.125,12,21,1.75,17,200,0.935,0.2555197143554688
0.5,0.125,12,24,2.0,17,200,0.955,0.41835936188697814
0.5,0.125,12,27,2.25,17,200,0.995,0.5929403567314148
0.5,0.125,12,30,2.5,17,200,0.965,0.7684408855438233
0.5,0.125,12,33,2.75,17,200,0.96,0.9426020359992981
0.5,0.125,12,36,3.0,17,200,0.97,1.121023428440094
0.5,0.125,13,13,1.0,17,200,0.19,0.005122710466384888
0.5,0.125,13,17,1.25,17,200,0.68,0.08297870755195617
0.5,0.125,13,20,1.5,17,200,0.88,0.19780136823654174
0.5,0.125,13,23,1.75,17,200,0.94,0.35708321690559386
0.5,0.125,13,26,2.0,17,200,0.975,0.5463311338424682
0.5,0.125,13,30,2.25,17,200,0.945,0.8320807647705079
0.5,0.125,13,33,2.5,17,200,0.92,1.0208020746707915
0.5,0.125,13,36,2.75,17,200,0.97,1.2121974873542785
0.5,0.125,13,39,3.0,17,200,0.97,1.4477252221107484
0.5,0.125,14,14,1.0,17,200,0.165,0.007560492753982544
0.5,0.125,14,18,1.25,17,200,0.565,0.10883270144462585
0.5,0.125,14,21,1.5,17,200,0.815,0.24483670949935912
0.5,0.125,14,25,1.75,17,200,0.895,0.5052127373218537
0.5,0.125,14,28,2.0,17,200,0.925,0.7439922285079956
0.5,0.125,14,32,2.25,17,200,0.93,1.0334136509895324
0.5,0.125,14,35,2.5,17,200,0.965,1.2743933773040772
0.5,0.125,14,39,2.75,17,200,0.93,1.6084503948688507
0.5,0.125,14,42,3.0,17,200,0.885,1.817823944091797
0.5,0.125,15,15,1.0,17,200,0.135,0.013116693496704102
0.5,0.125,15,19,1.25,17,200,0.5,0.16330983996391296
